idx,timestamp,acc,prec,recl,f1,lb,timest,qnt
1,1690144615,6.9077572445768e-310,6.9077572446068e-310,6.9077572446068e-310,6.90775724460603e-310,6.90775724460524e-310,6.90775724460287e-310,6.9077572446005e-310
10001,1690144615,0.0,0.0,0.0,0.0,0.999,0.4226837158203125,10000.0
20001,1690144615,0.0,0.0,0.0,0.0,0.9985,0.6239497661590576,20000.0
30001,1690144615,0.0,0.0,0.0,0.0,0.9993,0.8256509304046631,30000.0
40001,1690144615,0.0,0.0,0.0,0.0,0.999,1.0250816345214844,40000.0
50001,1690144615,0.0,0.0,0.0,0.0,0.9991,1.1860671043395996,50000.0
60001,1690144615,0.0,0.0,0.0,0.0,0.999,1.3591492176055908,60000.0
70001,1690144615,0.0,0.0,0.0,0.0,0.9991,1.5404438972473145,70000.0
80001,1690144615,0.0,0.0,0.0,0.0,0.999,1.7284173965454102,80000.0
90001,1690144615,0.0,0.0,0.0,0.0,0.9995,1.9088802337646484,90000.0
100001,1690144615,0.0,0.0,0.0,0.0,0.9991,2.08772873878479,100000.0
110001,1690144615,0.0,0.0,0.0,0.0,0.9719,2.2647111415863037,110000.0
120001,1690144615,0.0,0.0,0.0,0.0,0.9768,2.4480369091033936,120000.0
130001,1690144615,0.0,0.0,0.0,0.0,0.977,2.6274569034576416,130000.0
140001,1690144615,0.0,0.0,0.0,0.0,0.977,2.8075900077819824,140000.0
150001,1690144615,0.0,0.0,0.0,0.0,0.9757,2.987384080886841,150000.0
160001,1690144615,0.0,0.0,0.0,0.0,0.9752,3.1648809909820557,160000.0
170001,1690144615,0.0,0.0,0.0,0.0,0.9745,3.344332218170166,170000.0
180001,1690144615,0.0,0.0,0.0,0.0,0.9723,3.5239510536193848,180000.0
190001,1690144615,0.0,0.0,0.0,0.0,0.9761,3.7039642333984375,190000.0
200001,1690144615,0.0,0.0,0.0,0.0,0.9772,4.170671224594116,200000.0
210001,1690144615,0.0,0.0,0.0,0.0,0.9687,4.067655801773071,210000.0
220001,1690144615,0.0,0.0,0.0,0.0,0.9646,4.244896173477173,220000.0
230001,1690144615,0.0,0.0,0.0,0.0,0.9672,4.418481826782227,230000.0
240001,1690144615,0.0,0.0,0.0,0.0,0.9662,4.601795434951782,240000.0
250001,1690144615,0.0,0.0,0.0,0.0,0.9664,4.7773051261901855,250000.0
260001,1690144615,0.0,0.0,0.0,0.0,0.9684,4.956137657165527,260000.0
270001,1690144615,0.0,0.0,0.0,0.0,0.9677,5.130256175994873,270000.0
280001,1690144615,0.0,0.0,0.0,0.0,0.967,5.30429744720459,280000.0
290001,1690144615,0.0,0.0,0.0,0.0,0.9666,5.487410068511963,290000.0
300001,1690144615,0.0,0.0,0.0,0.0,0.9649,5.66522216796875,300000.0
310001,1690144615,0.0,0.0,0.0,0.0,0.8198,5.8400092124938965,310000.0
