idx,timestamp,acc,prec,recl,f1,lb,timest,qnt
1,1689146728,6.91973367276723e-310,6.91973367279806e-310,6.9197336727965e-310,6.9197336727949e-310,6.9197336727933e-310,6.91973367279174e-310,6.91973367278067e-310
10001,1689146728,0.998999974999375,0.9993994745402227,0.9995995695372526,0.9994995120242236,0.999,0.4626784324645996,10000.0
20001,1689146728,0.998999974999375,0.9992245929112784,0.9997747578647046,0.9994995996797439,0.9985,0.7092845439910889,20000.0
30001,1689146728,0.9989499737493437,0.9989499737493437,1.0,0.9994747110911001,0.9993,0.9358944892883301,30000.0
40001,1689146728,0.9989249731243282,0.9989998499774966,0.9999249192882349,0.99946217057948,0.999,1.149693250656128,40000.0
50001,1689146728,0.9989499737493437,0.9989499737493437,1.0,0.9994747110911001,0.9991,1.375739336013794,50000.0
60001,1689146728,0.9989499737493437,0.9989499737493437,1.0,0.9994747110911001,0.999,1.5845937728881836,60000.0
70001,1689146728,0.9989499737493437,0.9989499737493437,1.0,0.9994747110911001,0.9991,1.7934472560882568,70000.0
80001,1689146728,0.9989499737493437,0.9989499737493437,1.0,0.9994747110911001,0.999,2.00764536857605,80000.0
90001,1689146728,0.9989499737493437,0.9989499737493437,1.0,0.9994747110911001,0.9995,2.2061944007873535,90000.0
100001,1689146728,0.9989499737493437,0.9989499737493437,1.0,0.9994747110911001,0.9991,2.4176371097564697,100000.0
110001,1689146728,0.9990749768744218,0.9993995196156925,0.9996746502490177,0.9995370659993744,0.9719,2.6363000869750977,110000.0
120001,1689146728,0.5112877821945548,0.9996572491798462,0.5109492704657507,0.6762504140443856,0.9768,2.854138135910034,120000.0
130001,1689146728,0.44423610590264756,0.9996054337410518,0.4438271141477088,0.6147180144892371,0.977,3.0560343265533447,130000.0
140001,1689146728,0.5556638915972899,0.9993247501575583,0.5555722401581701,0.7141271653986586,0.977,3.2711870670318604,140000.0
150001,1689146728,0.5235130878271956,0.9994264410668197,0.5233125610030783,0.6869363820036465,0.9757,3.4836442470550537,150000.0
160001,1689146728,0.4926873171829296,0.9996442908684384,0.4923292539479941,0.6597357300959151,0.9752,3.7190592288970947,160000.0
170001,1689146728,0.516412910322758,0.9992733966285604,0.5162800010010762,0.6808138479563044,0.9745,3.941589117050171,170000.0
180001,1689146728,0.51908797719943,0.9990847343320969,0.5190579873363866,0.6831807101917122,0.9723,4.151013612747192,180000.0
190001,1689146728,0.5187129678241956,0.9991803278688525,0.5186325299697174,0.6828344069723381,0.9761,4.3931028842926025,190000.0
200001,1689146728,0.5201380034500862,0.9989906272530642,0.5201591711089422,0.684111780389059,0.9772,4.6010496616363525,200000.0
210001,1689146728,0.9984999624990625,0.9989495010129812,0.9995495157294091,0.9992494182991818,0.9687,4.8157289028167725,210000.0
220001,1689146728,0.9720243006075152,0.9990747879722437,0.9728958630527818,0.9858115561641752,0.9646,5.042008638381958,220000.0
230001,1689146728,0.891422285557139,0.9988514119229045,0.8923342593287784,0.9425931555919792,0.9672,5.257517099380493,230000.0
240001,1689146728,0.8900222505562639,0.9988496071829405,0.8909327527091624,0.9418098601796367,0.9662,5.456347703933716,240000.0
250001,1689146728,0.9569739243481087,0.9989039665970773,0.9579798283154392,0.9780139760082783,0.9664,5.676234006881714,250000.0
260001,1689146728,0.9578489462236556,0.9989049667579194,0.9588557699526992,0.9784707324547962,0.9684,5.89255166053772,260000.0
270001,1689146728,0.9560489012225306,0.9989029072956664,0.9570538328703356,0.9775306748466258,0.9677,6.098069667816162,270000.0
280001,1689146728,0.9989499737493437,0.9989499737493437,1.0,0.9994747110911001,0.967,6.328733921051025,280000.0
290001,1689146728,0.9553988849721243,0.9989021616958987,0.956403133368371,0.9771907842585726,0.9666,6.530491828918457,290000.0
