idx,timestamp,acc,prec,recl,f1,lb,timest,qnt
1,1690235527,4.6842088698553e-310,4.68424733514563e-310,6.9276374854133e-310,6.9276374854133e-310,6.9276374854133e-310,6.92763748541487e-310,6.92763748541487e-310
10001,1690235527,0.9989499737493437,0.9989499737493437,1.0,0.9994747110911001,0.999,26.81386113166809,10000.0
20001,1690235527,0.9991499787494688,0.999149808706959,1.0,0.9995747235703207,0.9985,47.08161759376526,20000.0
30001,1690235527,0.9991499787494688,0.999149808706959,1.0,0.9995747235703207,0.9993,68.34594964981079,30000.0
40001,1690235527,0.999399984999625,0.9993997148645607,1.0,0.9996997673196727,0.999,89.798024892807,40000.0
50001,1690235527,0.999399984999625,0.9993997148645607,1.0,0.9996997673196727,0.9991,110.16703128814697,50000.0
60001,1690235527,0.9990499762494063,0.9990498812351544,1.0,0.9995247148288973,0.999,131.28895473480225,60000.0
70001,1690235527,0.999399984999625,0.9993997148645607,1.0,0.9996997673196727,0.9991,152.92806911468506,70000.0
80001,1690235527,0.9993749843746094,0.9993747186233806,1.0,0.9996872615369219,0.999,174.98561429977417,80000.0
90001,1690235527,0.999399984999625,0.9993997148645607,1.0,0.9996997673196727,0.9995,195.22270035743713,90000.0
100001,1690235527,0.9994249856246407,0.9994247123561781,1.0,0.9997122734153145,0.9991,216.08882355690002,100000.0
110001,1690235527,0.9451486287157179,0.9990221212041124,0.9460169682408589,0.9717973108465948,0.9719,236.44872045516968,110000.0
120001,1690235527,0.9542738568464212,0.9990314643212397,0.9551517881722852,0.97659898412211,0.9768,255.99638748168945,120000.0
130001,1690235527,0.9403235080877022,0.9990171076399957,0.9411867757839678,0.9692400871122794,0.977,275.4480745792389,130000.0
140001,1690235527,0.9363234080852021,0.9990129121758617,0.9371824711564932,0.9671104453713151,0.977,296.6461970806122,140000.0
150001,1690235527,0.943073576839421,0.9990464081373173,0.9439147083114348,0.9706983747056326,0.9757,317.167929649353,150000.0
160001,1690235527,0.906772669316733,0.9990082644628099,0.9075756438171034,0.9510995711869074,0.9752,339.415420293808,160000.0
170001,1690235527,0.9066726668166705,0.9990081551686136,0.9074755362014165,0.9510445490669219,0.9745,360.2090971469879,170000.0
180001,1690235527,0.9039475986899672,0.9991155089969319,0.9046474960582627,0.9495376694336451,0.9723,381.400634765625,180000.0
190001,1690235527,0.8915222880572015,0.999075215782984,0.8922341517130916,0.942636929707434,0.9761,403.278195142746,190000.0
200001,1690235527,0.9555738893472336,0.9992154811715481,0.9562779988487624,0.9772753430438508,0.9772,424.6308650970459,200000.0
210001,1690235527,0.9992249806245156,0.999224767430229,1.0,0.9996122334104697,0.9687,446.8654911518097,210000.0
220001,1690235527,0.9992499812495312,0.9992497561707555,1.0,0.9996247373161212,0.9646,467.9245994091034,220000.0
230001,1690235527,0.9992999824995625,0.9992997374015256,1.0,0.9996497460658977,0.9672,488.99541425704956,230000.0
240001,1690235527,0.9992749818745469,0.9992747461611564,1.0,0.9996372415345934,0.9662,511.1218626499176,240000.0
250001,1690235527,0.9992499812495312,0.9992747280230087,0.9999749730960783,0.9996247279277476,0.9664,533.655430316925,250000.0
260001,1690235527,0.9992749818745469,0.9992997198879552,0.9999749730960783,0.9996372324589385,0.9684,558.1005003452301,260000.0
270001,1690235527,0.9993249831245781,0.9993247298919568,1.0,0.9996622509100461,0.9677,582.0241463184357,270000.0
280001,1690235527,0.9992499812495312,0.9992747280230087,0.9999749730960783,0.9996247279277476,0.967,606.260137796402,280000.0
290001,1690235527,0.9991749793744844,0.9992247286550293,0.9999499461921566,0.9995872058841925,0.9666,629.8273718357086,290000.0
300001,1690235527,0.9992749818745469,0.9992997198879552,0.9999749730960783,0.9996372324589385,0.9649,652.9626924991608,300000.0
310001,1690235527,0.8181204530113253,0.9996636497064579,0.8182045699126561,0.8998775133840712,0.8198,672.2731845378876,310000.0
320001,1690235527,0.8639465986649666,0.9994501201053454,0.8642791000325349,0.9269628237820426,0.9599,692.551783323288,320000.0
330001,1690235527,0.8812470311757794,0.9997444996451385,0.8813474485071452,0.9368199835066905,0.9558,713.173742055893,330000.0
340001,1690235527,0.8803220080502012,0.9997158283603297,0.8804464799659634,0.9362981888831223,0.9597,733.800313949585,340000.0
350001,1690235527,0.8435460886522163,0.9997330723373966,0.8436068773931977,0.9150582294975161,0.9604,755.2220990657806,350000.0
360001,1690235527,0.8439460986524663,0.9997628294447244,0.8439822809520234,0.915291499294322,0.9581,776.7398817539215,360000.0
370001,1690235527,0.824545613640341,0.9997269168917073,0.8245864304126936,0.9037496228433497,0.9605,797.8339378833771,370000.0
380001,1690235527,0.7955198879972,0.9996540880503144,0.795580248767425,0.8860180888275709,0.9571,819.5461313724518,380000.0
390001,1690235527,0.9973749343733593,0.9994736050533914,0.9978977400705759,0.9986850509073149,0.9657,840.8102924823761,390000.0
400001,1690235527,0.9989499737493437,0.9989499737493437,1.0,0.9994747110911001,0.998,860.641964673996,400000.0
410001,1690235527,0.9989499737493437,0.9989499737493437,1.0,0.9994747110911001,0.9981,882.4793949127197,410000.0
420001,1690235527,0.9989499737493437,0.9989499737493437,1.0,0.9994747110911001,0.9983,901.6589341163635,420000.0
430001,1690235527,0.9989499737493437,0.9989499737493437,1.0,0.9994747110911001,0.9979,922.4716928005219,430000.0
440001,1690235527,0.9989499737493437,0.9989499737493437,1.0,0.9994747110911001,0.998,943.3401577472687,440000.0
450001,1690235527,0.9989499737493437,0.9989499737493437,1.0,0.9994747110911001,0.9982,963.8471441268921,450000.0
