idx,timestamp,acc,prec,recl,f1,lb,timest,qnt
1,1690138693,6.90775724458706e-310,6.90775724459496e-310,6.90775724458785e-310,6.90775724460445e-310,6.9077572446021e-310,6.9077572445997e-310,6.90775724459813e-310
10001,1690138693,0.995324883122078,0.9991214859437751,0.9961959106038992,0.9976565535045178,0.999,2.2168092727661133,10000.0
20001,1690138693,0.9989499737493437,0.9989499737493437,1.0,0.9994747110911001,0.9985,3.4805099964141846,20000.0
30001,1690138693,0.9989499737493437,0.9989499737493437,1.0,0.9994747110911001,0.9993,5.021634817123413,30000.0
40001,1690138693,0.9989499737493437,0.9989499737493437,1.0,0.9994747110911001,0.999,6.483361482620239,40000.0
50001,1690138693,0.9989499737493437,0.9989499737493437,1.0,0.9994747110911001,0.9991,8.005269765853882,50000.0
60001,1690138693,0.9987499687492187,0.9992243989091546,0.9995244888254874,0.9993744213397392,0.999,9.566298007965088,60000.0
70001,1690138693,0.9989249731243282,0.9989499474973749,0.9999749730960783,0.9994621974860859,0.9991,11.294382095336914,70000.0
80001,1690138693,0.9991499787494688,0.9994245540293728,0.9997247040568611,0.9995746065110227,0.999,13.096050024032593,80000.0
90001,1690138693,0.9990999774994375,0.9994245252333175,0.9996746502490177,0.9995495720934888,0.9995,15.059333324432373,90000.0
100001,1690138693,0.9990999774994375,0.9994245252333175,0.9996746502490177,0.9995495720934888,0.9991,16.962682962417603,100000.0
110001,1690138693,0.39960999024975624,0.9977519670288497,0.39987987086117577,0.5709385217344697,0.9719,19.183730125427246,110000.0
120001,1690138693,0.9417235430885772,0.9991509684266384,0.9424631478839752,0.9699795227117597,0.9768,20.979803800582886,120000.0
130001,1690138693,0.9455236380909523,0.9991016223643185,0.9463172910879195,0.9719933678649925,0.977,23.014345169067383,130000.0
140001,1690138693,0.945073626840671,0.9991011948820979,0.9458668068173286,0.9717554798482998,0.977,24.931527614593506,140000.0
150001,1690138693,0.9457486437160929,0.9991018359529785,0.9465425332232149,0.9721122706009356,0.9757,27.002527236938477,150000.0
160001,1690138693,0.9457486437160929,0.9991018359529785,0.9465425332232149,0.9721122706009356,0.9752,29.231196641921997,160000.0
170001,1690138693,0.9457486437160929,0.9991018359529785,0.9465425332232149,0.9721122706009356,0.9745,31.39683699607849,170000.0
180001,1690138693,0.9457486437160929,0.9991018359529785,0.9465425332232149,0.9721122706009356,0.9723,33.59725999832153,180000.0
190001,1690138693,0.9457736443411086,0.9991018596787827,0.9465675601271367,0.9721254803181987,0.9761,35.743374824523926,190000.0
200001,1690138693,0.945548638715968,0.9991016461014083,0.9463423179918412,0.9720065806385275,0.9772,37.9595000743866,200000.0
210001,1690138693,0.9983749593739843,0.9989992995096567,0.9993743274019571,0.9991867782657109,0.9687,39.8680419921875,210000.0
220001,1690138693,0.9984999624990625,0.9994491875516387,0.9990489776509748,0.9992490425292248,0.9646,42.133692264556885,220000.0
230001,1690138693,0.9713492837320933,0.9997167357659722,0.9715944640488525,0.9854550069805813,0.9672,44.5558226108551,230000.0
240001,1690138693,0.9978749468736718,0.9995739988974089,0.9982981705333234,0.9989356773474577,0.9662,46.6527259349823,240000.0
250001,1690138693,0.9980999524988124,0.999499010545828,0.9985984933803839,0.9990485490372818,0.9664,49.02802491188049,250000.0
260001,1690138693,0.9965749143728593,0.9994982438534872,0.9970718522411592,0.998283573674781,0.9684,51.21050405502319,260000.0
270001,1690138693,0.99879996999925,0.9994993616861498,0.999299246690192,0.9993992941706505,0.9677,53.5927996635437,270000.0
280001,1690138693,0.99879996999925,0.9994993616861498,0.999299246690192,0.9993992941706505,0.967,55.86448669433594,280000.0
290001,1690138693,0.99879996999925,0.9994993616861498,0.999299246690192,0.9993992941706505,0.9666,58.402406215667725,290000.0
300001,1690138693,0.99879996999925,0.9994993616861498,0.999299246690192,0.9993992941706505,0.9649,60.897111654281616,300000.0
310001,1690138693,0.8612715317882947,0.9994774126117756,0.8615761944089897,0.9254176691173506,0.8198,62.30334806442261,310000.0
320001,1690138693,0.9620740518512962,0.9992985919883618,0.9627099131566433,0.9806630890619622,0.9599,63.85186171531677,320000.0
330001,1690138693,0.9220230505762644,0.9991598915989159,0.9227169206897414,0.9594181401824167,0.9558,65.47544765472412,330000.0
340001,1690138693,0.9147728693217331,0.9991532368205408,0.9154591185524439,0.9554769025820522,0.9597,67.04458379745483,340000.0
