idx,timestamp,acc,prec,recl,f1,lb,timest,qnt
1,1689147401,6.9209068836506e-310,6.92090688364824e-310,6.92090688364033e-310,6.9209068836269e-310,6.9209068836664e-310,6.9209068836664e-310,6.9209068836664e-310
10001,1689147401,0.9989499737493437,0.9989499737493437,1.0,0.9994747110911001,0.999,1.1541547775268555,10000.0
20001,1689147401,0.9989499737493437,0.9989499737493437,1.0,0.9994747110911001,0.9985,1.5863618850708008,20000.0
30001,1689147401,0.9989499737493437,0.9989499737493437,1.0,0.9994747110911001,0.9993,2.0299172401428223,30000.0
40001,1689147401,0.9989499737493437,0.9989499737493437,1.0,0.9994747110911001,0.999,2.482941150665283,40000.0
50001,1689147401,0.9991499787494688,0.9993995646843962,0.9997497309607828,0.9995746171554398,0.9991,2.948514223098755,50000.0
60001,1689147401,0.9993249831245781,0.9993996698184001,0.9999249192882349,0.9996622255582661,0.999,3.477548122406006,60000.0
70001,1689147401,0.9994999874996875,0.9995996897595637,0.9998998923843131,0.9997497685358957,0.9991,4.007690191268921,70000.0
80001,1689147401,0.9995249881247031,0.9995996997748311,0.9999249192882349,0.9997622830833136,0.999,4.393124580383301,80000.0
90001,1689147401,0.9994999874996875,0.9996246903695549,0.9998748654803914,0.9997497622741606,0.9995,4.8680596351623535,90000.0
100001,1689147401,0.9991499787494688,0.9993995646843962,0.9997497309607828,0.9995746171554398,0.9991,5.387083053588867,100000.0
110001,1689147401,0.9901997549938748,0.9996968854984971,0.990489776509748,0.9950720337917682,0.9719,5.842141389846802,110000.0
120001,1689147401,0.9633490837270932,0.9998441679869101,0.9634607202742949,0.9813153199082335,0.9768,6.326425075531006,120000.0
130001,1689147401,0.9908247706192654,0.9996970767910335,0.9911154491077909,0.9953877669000013,0.977,6.776932716369629,130000.0
140001,1689147401,0.9904497612440311,0.9997474428589468,0.9906899917411217,0.9951981094127111,0.977,7.239912986755371,140000.0
150001,1689147401,0.9993749843746094,0.9996996696366003,0.9996746502490177,0.9996871597862675,0.9757,7.6968231201171875,150000.0
160001,1689147401,0.9993749843746094,0.9996996696366003,0.9996746502490177,0.9996871597862675,0.9752,8.162863969802856,160000.0
170001,1689147401,0.9993749843746094,0.9996996696366003,0.9996746502490177,0.9996871597862675,0.9745,8.648540735244751,170000.0
180001,1689147401,0.9986749668741719,0.9996494039867775,0.9990239507470531,0.999336579504062,0.9723,9.093070030212402,180000.0
190001,1689147401,0.9826995674891872,0.9996945709995164,0.9829817053332333,0.9912676980541605,0.9761,9.60122561454773,190000.0
200001,1689147401,0.9654741368534213,0.9998445112470198,0.9655880071076407,0.9824177223247821,0.9772,10.047019720077515,200000.0
210001,1689147401,0.9688242206055151,0.9998966888785578,0.9688915584253072,0.9841499841118525,0.9687,10.508132219314575,210000.0
